epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.3486000895500183,0.3531331419944763,59.14077377319336,27.719816207885742,1.8406243324279785,89.0543441772461,0.3
50,0.0008684301865287125,0.0008567446493543684,3.827741861343384,2.7729427814483643,0.0189580749720335,6.620499610900879,12.3
100,0.00019113044254481792,0.00019178178627043962,0.7757705450057983,0.8468363285064697,0.0024502628948539495,1.625248908996582,25.0
150,6.993183342274278e-05,6.926759670022875e-05,0.498817503452301,0.26405760645866394,0.0011900594690814614,0.764134407043457,37.8
200,3.765954897971824e-05,3.7875608541071415e-05,0.30160248279571533,0.16463811695575714,0.000743607000913471,0.4670220911502838,50.6
250,2.2335707399179228e-05,2.2084894226281904e-05,0.21473410725593567,0.10727618634700775,0.00038542094989679754,0.32241782546043396,63.5
300,1.4617211490985937e-05,1.4599540918425191e-05,0.16498087346553802,0.07592419534921646,0.0002177641144953668,0.24113744497299194,75.6
350,1.0649215255398303e-05,1.0393619959359057e-05,0.13866139948368073,0.05938126519322395,0.00017364017548970878,0.1982267051935196,86.6
400,8.090999472187832e-06,8.093820724752732e-06,0.11504428833723068,0.050629373639822006,0.0001168705930467695,0.165798619389534,97.5
450,6.695441697956994e-06,6.715907147736289e-06,0.1053149551153183,0.04505195841193199,9.565518121235073e-05,0.15046927332878113,107.6
500,6.028003099345369e-06,6.025857601343887e-06,0.09947223216295242,0.0427902452647686,8.86833731783554e-05,0.14235718548297882,115.1
550,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,117.7
600,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,120.1
650,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,122.5
700,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,124.9
750,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,127.4
800,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,129.8
850,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,132.2
900,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,134.6
950,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,137.1
1000,6.013012807670748e-06,6.0182373999850824e-06,0.09931274503469467,0.04270745813846588,8.87325222720392e-05,0.14211495220661163,139.5
