epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.3569353222846985,0.37061241269111633,62.39388656616211,28.18441390991211,1.8683370351791382,92.81725311279297,0.2
50,0.0014397257473319769,0.0014326402451843023,3.7374887466430664,2.1770267486572266,0.020421607419848442,5.9363694190979,8.2
100,0.00042824342381209135,0.00044577743392437696,0.8670279383659363,0.9718954563140869,0.0020099966786801815,1.841379165649414,16.7
150,0.00020381194190122187,0.00022301827266346663,0.4868995249271393,0.4144105911254883,0.0005774598685093224,0.9021105766296387,25.3
200,0.00013151703751645982,0.00014148050104267895,0.3680918216705322,0.27152156829833984,0.0004406185762491077,0.6401954889297485,34.0
250,7.992226164788008e-05,8.642624015919864e-05,0.2498217225074768,0.1699787825345993,0.0003073433181270957,0.4201942980289459,42.5
300,5.599689029622823e-05,5.902456905459985e-05,0.1915593445301056,0.11376235634088516,0.0002478954556863755,0.30562862753868103,51.0
350,4.1223771404474974e-05,4.374971103970893e-05,0.1942787915468216,0.09752621501684189,0.00018586103396955878,0.2920345962047577,59.6
400,2.674620736797806e-05,2.7918322302866727e-05,0.1535089761018753,0.074895478785038,0.00014956282393541187,0.22858195006847382,68.1
450,2.1029361960245296e-05,2.246416624984704e-05,0.13555265963077545,0.06737658381462097,0.00013123455573804677,0.20308294892311096,75.2
500,1.749851435306482e-05,1.9058144971495494e-05,0.1401410698890686,0.06016402691602707,9.891223453450948e-05,0.20042306184768677,82.7
550,1.4182483027980197e-05,1.5136079127842095e-05,0.1369195431470871,0.05449385941028595,7.49839236959815e-05,0.19150352478027344,89.8
600,1.1952971362916287e-05,1.286353017349029e-05,0.11549988389015198,0.04490620270371437,5.9137146308785304e-05,0.16047810018062592,96.6
650,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,101.8
700,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,103.4
750,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,105.1
800,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,106.7
850,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,108.4
900,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,110.0
950,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,111.6
1000,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.041919659823179245,5.252576738712378e-05,0.1542665809392929,113.3
