epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.32386136054992676,0.3282616138458252,59.26959991455078,32.0363655090332,1.947013258934021,93.58124542236328,0.2
50,0.0007027676329016685,0.000686054874677211,3.4894402027130127,2.7458832263946533,0.016671648249030113,6.252681255340576,9.6
100,0.0001550968736410141,0.00015385796723421663,0.6297227740287781,0.7394591569900513,0.0017525148577988148,1.3710882663726807,19.7
150,5.4641368478769436e-05,5.386438351706602e-05,0.33707699179649353,0.28124403953552246,0.0009172020945698023,0.6192920804023743,29.9
200,2.9320404792088084e-05,2.867028524633497e-05,0.24222159385681152,0.15841908752918243,0.0005230999086052179,0.40119242668151855,40.3
250,1.8223421648144722e-05,1.7346401364193298e-05,0.1833648383617401,0.11168894916772842,0.0003159104089718312,0.29538702964782715,50.3
300,1.317342230322538e-05,1.2727607099805027e-05,0.14471657574176788,0.08438611030578613,0.0002548621268942952,0.22937028110027313,59.4
350,9.323609447164927e-06,9.159030014416203e-06,0.09634826332330704,0.055659618228673935,0.0001853010180639103,0.15220233798027039,68.4
400,7.739868124190252e-06,7.618340532644652e-06,0.08120308071374893,0.04433351382613182,0.0001408343086950481,0.12568505108356476,75.9
450,6.562634098372655e-06,6.474578640336404e-06,0.06671756505966187,0.036428503692150116,0.00011235829151701182,0.10326489806175232,82.9
500,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,89.3
550,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,91.0
600,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,92.7
650,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,94.3
700,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,95.9
750,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,97.6
800,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,99.2
850,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,100.9
900,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,102.5
950,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,104.1
1000,5.748990133724874e-06,5.758642146247439e-06,0.0672086849808693,0.031929705291986465,9.049812069861218e-05,0.09923464059829712,105.8
