epoch,train_total,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,12.525168418884277,3.48748517036438,60.48540496826172,9.020078659057617,0.7927208542823792,73.78569030761719,1.8
50,0.3619815707206726,0.31699416041374207,60.64702224731445,0.04336555674672127,1.7987666130065918,62.806148529052734,56.9
100,0.24440404772758484,0.22252528369426727,62.9354133605957,0.021082129329442978,3.1295793056488037,66.30860137939453,116.4
150,0.21959230303764343,0.20740468800067902,62.4351692199707,0.011690567247569561,3.2252132892608643,65.87947845458984,177.0
200,0.2147233933210373,0.20299266278743744,62.21821975708008,0.011063744314014912,3.1506500244140625,65.58292388916016,226.8
250,0.21405424177646637,0.20285052061080933,62.26983642578125,0.010472645051777363,3.153583526611328,65.6367416381836,246.8
300,0.21405832469463348,0.20285050570964813,62.26982879638672,0.010476750321686268,3.153580904006958,65.63673400878906,258.9
350,0.21357686817646027,0.20209082961082458,62.22733688354492,0.010683930478990078,3.133352279663086,65.5734634399414,277.5
400,0.21353307366371155,0.20196735858917236,62.23564910888672,0.010795972310006618,3.1468610763549805,65.59527587890625,290.3
450,0.21353331208229065,0.20196735858917236,62.23564910888672,0.010796201415359974,3.1468610763549805,65.59527587890625,301.6
500,0.21347671747207642,0.2020644098520279,62.25226593017578,0.010668252594769001,3.1607468128204346,65.62574768066406,317.6
550,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668773204088211,3.1607468128204346,65.62574768066406,331.0
600,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,344.4
650,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,357.8
700,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668773204088211,3.1607468128204346,65.62574768066406,371.2
750,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668773204088211,3.1607468128204346,65.62574768066406,384.7
800,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,398.1
850,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,411.5
900,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,424.9
950,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,438.3
1000,0.2134772390127182,0.2020644098520279,62.25226593017578,0.010668774135410786,3.1607468128204346,65.62574768066406,451.7
