epoch,train_total,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,10.205767631530762,3.496394157409668,62.9990234375,6.6931538581848145,0.775572657585144,73.96414184570312,1.5
50,0.36043649911880493,0.3120488226413727,63.19575500488281,0.04825194552540779,1.8407351970672607,65.39678955078125,56.2
100,0.2388719767332077,0.22015799582004547,65.30111694335938,0.018906043842434883,3.1328258514404297,68.67301177978516,113.1
150,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,141.7
200,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,152.5
250,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,163.3
300,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,174.2
350,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,185.0
400,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,195.9
450,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,206.7
500,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,217.6
550,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,228.4
600,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,239.2
650,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,250.1
700,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,260.9
750,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,271.8
800,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,282.6
850,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,293.5
900,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,304.3
950,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,315.2
1000,0.23031318187713623,0.21425330638885498,65.294921875,0.015551812015473843,3.2298271656036377,68.75455474853516,326.0
